mol,CAS,Tox
FC(F)(F)c1ccc(O)cc1,402-45-9,3.6199999
Fc1cc([N+](=O)[O-])ccc1,402-67-5,3.2
Fc1c(O)ccc([N+](=O)[O-])c1,403-19-0,4.0700002
O=C(C(=O)C)C,431-03-8,2.77
FC(F)(F)C(=O)c1ccccc1,434-45-7,2.99
Fc1c(F)c(F)c(CO)c(F)c1F,440-60-8,2.8
Fc1cc(O)c([N+](=O)[O-])cc1,446-36-6,4.1199999
Fc1c(CO)cccc1,446-51-5,2.3299999
Fc1c(C=O)cccc1,446-52-6,3.079
Fc1ccc(C(=O)OCC)cc1,451-46-7,3.01
Oc1c(O)ccc(C)c1,452-86-8,3.3699999
Fc1cc(CO)ccc1,456-47-3,2.6099999
Fc1ccc(CO)cc1,459-56-3,2.3800001
Fc1ccc(C=O)cc1,459-57-4,2.8729999
O=C(CCCCCC)CCCCCC,462-18-0,4.5209999
O=C1c2c(O)ccc(O)c2C(=O)C=C1,475-38-7,5.8299999
O=C1c2c(O)cccc2C(=O)C=C1,481-39-0,6.3299999
O=C1C(C)=CC(=O)c2c(O)cccc12,481-42-5,5.1999998
O=Cc1c(O)cc(O)cc1O,487-70-7,3.128
O=Cc1c(O)c(OCC)ccc1,492-88-6,3.8499999
c1(-c2sccc2)sccc1,492-97-7,4.04
O=C(NO)c1ccccc1,495-18-1,3.3800001
O=C/C(=C\C)/C,497-03-0,2.8599999
O=C(C)c1cc(OC)c(O)cc1,498-02-2,2.8800001
O=Cc1cocc1,498-60-2,3
O=Cc1cscc1,498-62-4,3.4000001
O=Cc1cnccc1,500-22-1,2.8699999
OCCc1ccc(O)cc1,501-94-0,2.1700001
O=C1OCCCCC1,502-44-3,1.739
O=C(O)CC(C)C,503-74-2,2.6589999
O=C1CC(=O)CCC1,504-02-9,2.0710001
S1CCSCC1,505-29-3,2.8900001
O=C(O)CCCCCCC(=O)O,505-48-6,2.4879999
P(=O)(OC)(OC)OC,512-56-1,1.1799999
OCC(=C)C,513-42-8,1.337
ClC(Cl)C(=O)C,513-88-2,3.641
O=C1C(=O)C=Cc2c1cccc2,524-42-5,6.1999998
O=C1c2c(OC(c3ccccc3)=C1)cccc2,525-82-6,4.4099998
Oc1c(C)c(C)c(O)c(C)c1C,527-18-4,4.2800002
Oc1c(C)cc(C)cc1C,527-60-6,3.4200001
O=[N+]([O-])c1c([N+](=O)[O-])cccc1,528-29-0,4.25
N#Cc1c(C)cccc1,529-19-1,2.76
S=C=NC(=O)c1ccccc1,532-55-8,3.0969999
BrC(C(=O)OCC)CC,533-68-6,3.7639999
Oc1c(O)ccc(O)c1,533-73-3,3.4400001
OCC(N)CO,534-03-2,1.324
ClCC(=O)CCl,534-07-6,5.046
S=C(NC)NC,534-13-4,1.89
O=[N+]([O-])c1c(O)c(C)cc([N+](=O)[O-])c1,534-52-1,4.73
BrC(C(=O)OCC)C,535-11-5,4.0570002
ClC(C(=O)OCC)C,535-13-7,2.569
Clc1cc(C(=O)O)ccc1,535-80-8,2.8699999
C(#C)c1ccccc1,536-74-3,2.8599999
O=C(OCCCC)/C=C/c1ccccc1,538-65-8,4.5300002
C(CCc1ccccc1)CC,538-68-1,4.79
BrCCC(=O)OCC,539-74-2,3.1259999
O=C(OCC)CCCC,539-82-2,2.642
O=C(OCC)CCC(=O)C,539-88-8,1.6
O=C(OCC(C)C)CC,540-42-1,2.3069999
BrCCO,540-51-2,2.154
O=C(OC(C)(C)C)C,540-88-5,1.51
O=C(N)CC(C)C,541-46-8,1.34
Clc1cc(Cl)ccc1,541-73-1,3.5599999
N#CCCC(C)C,542-54-1,2.214
O=COCC(C)C,542-55-2,1.692
S=C=NCC,542-85-8,4.6269999
OC(CCCCC)C,543-49-7,2.53
ClCCCCCC,544-10-5,3.78
N#CCCCC#N,544-13-8,1.363
ClC(Cl)(Cl)C#N,545-06-2,4.8829999
S=C=Nc1c2c(ccc1)cccc2,551-06-4,5.1370001
O=C(C)c1c(O)cc(OC)cc1,552-41-0,3.55
O=[N+]([O-])c1c(C=O)cccc1,552-89-6,3.1700001
Clc1c(N)ccc(Cl)c1,554-00-7,3.5599999
O=C(OC)CC,554-12-1,1.391
O=[N+]([O-])c1cc(O)ccc1,554-84-7,3.51
O=[N+]([O-])c1ccc(C=O)cc1,555-16-8,3.2
O=[N+]([O-])c1ccc(CC#N)cc1,555-21-5,3.1300001
ICC=C,556-56-9,3.796
OC/C=C(\C)/C,556-82-1,1.761
O=C/C=C/CC/C=C\CC,557-48-2,4.3400002
BrC[N+](=O)[O-],563-70-2,4.638
O=C(C(C)C)C,563-80-4,1.831
OC(C#C)C(C)C,565-68-4,2.973
BrC(C(=O)O)C(C)C,565-74-2,2.451
Cc1c2c(c(C)cc1)cccc2,571-58-4,4.4299998
Clc1c(Cl)cccc1O,576-24-9,4.2800002
Oc1c(C)cccc1C,576-26-1,2.9200001
Brc1c(Br)c(Br)c(C)c(O)c1Br,576-55-6,5.5700002
Brc1c([N+](=O)[O-])cccc1,577-19-5,3.75
O=[N+]([O-])c1c([N+](=O)[O-])ccc(O)c1,577-71-9,3.27
Nc1c(CC)cccc1CC,579-66-8,3.3099999
NCC(C)c1ccccc1,582-22-9,2.72
O=C(CO)c1ccccc1,582-24-1,3.0799999
Cc1c(C)ccnc1,583-58-4,2.5
O=C1C(C)CCCC1,583-60-8,2.1900001
Brc1c(O)ccc(O)c1,583-69-7,4.6799998
Clc1c(O)cc(Cl)cc1,583-78-8,4.1300001
OC(CC)CC,584-02-1,1.756
Brc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1,584-48-5,5.3099999
BrC(C(=O)O)CCC,584-93-0,2.9579999
Oc1cc(C(C)(C)C)ccc1,585-34-2,3.74
BrC(C)c1ccccc1,585-71-7,2.3310001
Brc1cc([N+](=O)[O-])ccc1,585-79-5,4.0300002
Brc1ccc(C(C)C)cc1,586-61-8,3.8499999
Brc1ccc([N+](=O)[O-])cc1,586-78-7,3.3800001
Nc1cc(CC)ccc1,587-02-0,2.97
OCc1cc(C)ccc1,587-03-1,2.76
Clc1cc(C=O)ccc1,587-04-2,3.4059999
N(CCc1ccccc1)C,589-08-2,2.5899999
Nc1ccc(CC)cc1,589-16-2,3.03
O=C(OCC(C)C)/C=C/C,589-66-2,2.6600001
OC(CCCC)CC,589-82-2,2.51
OC(CCCCC)CC,589-98-0,2.9400001
O=C(OCCCC)CC,590-01-2,3.1700001
BrCC#N,590-17-0,5.2290001
O=CCC(C)C,590-86-3,2.6700001
BrCCC(=O)O,590-92-1,2.9560001
Brc1cc(O)ccc1,591-20-8,4.1500001
Oc1cc(N)ccc1,591-27-5,2.48
O=Cc1cc(OC)ccc1,591-31-1,3.23
Clc1cc(Cl)cc(O)c1,591-35-5,4.5599999
Ic1ccccc1,591-50-4,3.3599999
O=C(CCCC)C,591-78-6,1.6569999
O=C(OCC=C)C,591-87-7,3.48
O=C(OCCCC)N,592-35-8,2.0339999
S=C=NCCCC,592-82-5,4.7210002
O=C(CCCCCCCCCCC)C,593-08-8,5.119
NC(CC)(C)C,594-39-8,2.302
ClC(Cl)(Cl)C(=O)N,594-65-0,2.7119999
S(=O)(=O)(CC)CC,597-35-3,1.16
S(=O)(=O)(CCCC)CCCC,598-04-9,2.744
OC(C=C)C,598-32-3,1.947
ClC(Cl)CO,598-38-9,2.01
S=C(NC)N,598-52-7,1.63
O=C(OC)N,598-55-0,1.025
N(CC)(C)C,598-56-1,2.092
OC(C(C)C)C,598-75-4,2.0039999
O=C(OC)C(C)(C)C,598-98-1,1.72
S(=O)(=O)(CC)c1ccccc1,599-70-2,2.21
BrC(C(=O)OCC)(C)C,600-00-0,3.152
OC(C(C)C)C(C)C,600-36-2,2.2950001
O=[N+]([O-])c1c(O)cccc1O,601-89-8,3.6600001
O=[N+]([O-])c1c(N)c([N+](=O)[O-])ccc1,606-22-4,3.8399999
O=[N+]([O-])c1c(O)c2c(cc1)cccc2,607-24-9,4.3600001
O=[N+]([O-])c1c2c(nccc2)ccc1,607-34-1,3.3900001
O=[N+]([O-])c1c2ncccc2ccc1,607-35-2,3.0799999
O=C(OCC)C(C(=O)OCC)Cc1ccccc1,607-81-8,3.71
Oc1c(C)c(C)c(O)cc1,608-43-5,4.4099998
Brc1c(Br)c(Br)c(O)c(Br)c1Br,608-71-9,5.6599998
O=C(OCC)C(C(=O)OCC)C,609-08-5,2.4890001
BrC(C(=O)OCC)C(Br)C,609-11-0,4.4380002
BrC(C(=O)OCC)C(C)C,609-12-1,3.0209999
Ic1c(O)c(I)cc(I)c1,609-23-4,5.6700001
O=C(N)c1occc1,609-38-1,1.5599999
Clc1c(O)c([N+](=O)[O-])cc(Cl)c1,609-89-2,4.75
O=[N+]([O-])c1c(C(=O)N)cccc1,610-15-1,2.28
O=[N+]([O-])c1c([N+](=O)[O-])ccc(C)c1,610-39-9,4.52
Brc1c(C(=O)O)cc(Br)cc1,610-71-9,2.6900001
Clc1c([N+](=O)[O-])cc(O)cc1,610-78-6,4.27
Clc1c([N+](=O)[O-])ccc(Cl)c1,611-06-3,3.99
Oc1c(C#N)cccc1,611-20-1,3.04
O=[N+]([O-])c1c(C#N)cccc1,612-24-8,4.0799999
O=[N+]([O-])c1c(CO)cccc1,612-25-9,2.8499999
BrCC(=O)c1cc2c(cc1)cccc2,613-54-7,5.9590001
O=C(C#N)c1ccccc1,613-90-1,3.3099999
N(CC)(C)c1ccccc1,613-97-8,3.29
Ic1c(N)cccc1,615-43-0,3.3499999
Brc1c(O)ccc(Br)c1,615-58-7,4.4000001
Clc1c(N)ccc(C)c1,615-65-6,3.1800001
Clc1c(O)cc(C)cc1,615-74-7,3.54
BrC(C(=O)OCC)CCC,615-83-8,3.6989999
BrC(C(=O)O)CCCC,616-05-7,3.4549999
NC(CC)CC,616-24-0,2.187
OC(C=C)CC,616-25-1,1.653
OC(CN)CN,616-29-5,1.573
N(CC)(CC)C,616-39-7,2.244
Cc1cscc1,616-44-4,2.3
O=[N+]([O-])c1c(N)ccc(OCC)c1,616-86-4,3.76
OC(C)(C)c1ccccc1,617-94-7,2.4300001
NC(C)c1ccccc1,618-36-0,2.8199999
Oc1cc(C(C)C)ccc1,618-45-1,3.6099999
Brc1cc(Br)cc(C(=O)O)c1,618-58-6,3.46
Clc1cc(Cl)cc([N+](=O)[O-])c1,618-62-2,4.1300001
O=[N+]([O-])c1cc([N+](=O)[O-])cc(N)c1,618-87-1,3.9400001
Clc1c(O)ccc([N+](=O)[O-])c1,619-08-9,4.1799998
O=[N+]([O-])c1cc(C#N)ccc1,619-24-9,3.45
O=[N+]([O-])c1cc(CO)ccc1,619-25-0,2.78
Brc1ccc(C(=O)OC)cc1,619-42-1,3.5999999
O=[N+]([O-])c1ccc(C(=O)OC)cc1,619-50-1,3.3900001
Clc1ccc(C(=O)N)cc1,619-56-7,3.0899999
O=[N+]([O-])c1ccc(C#N)cc1,619-72-7,3.5699999
O=[N+]([O-])c1ccc(CO)cc1,619-73-8,3.1199999
O=[N+]([O-])c1ccc(C(=O)N)cc1,619-80-7,3.1800001
Oc1cc(CC)ccc1,620-17-7,3.29
N#Cc1cc(C)ccc1,620-22-4,2.75
O=Cc1cc(C)ccc1,620-23-5,3.0810001
OCc1cc(O)ccc1,620-24-6,1.98
BrCC(=O)Oc1ccccc1,620-72-4,5.0760002
O=[N+]([O-])c1ccc(Oc2ccccc2)cc1,620-88-2,4.5799999
C(c1cnccc1)c1ccccc1,620-95-1,3.6800001
O=C(Nc1cc(O)ccc1)C,621-42-1,2.8399999
O=Cc1cc(O)c(OC)cc1,621-59-0,2.8599999
S=C(NCc1ccccc1)N,621-83-0,3.6600001
O=C(N)COc1ccccc1,621-88-5,2.27
ClCCc1ccccc1,622-24-2,3.1700001
O/N=C\c1ccccc1,622-32-2,2.8900001
S(CC)c1ccccc1,622-38-8,3.3
O=C(Oc1ccccc1)N,622-46-8,2.6099999
O(CC)c1ccc(O)cc1,622-62-8,3.01
S=C=NCc1ccccc1,622-78-6,5.7399998
Clc1ccc(C#N)cc1,623-03-0,3
Clc1ccc(OC)cc1,623-12-1,3.5999999
O=Cc1ccc(C=O)cc1,623-27-8,2.914
O=C/C(=C/CC)/C,623-36-9,2.98
OC(CCC)CC,623-37-0,2.1500001
O=C(OC)CCC,623-42-7,1.7539999
O=C(OC)/C=C/C,623-43-8,2.0799999
O=C(OCC)C#C,623-47-2,4.6999998
ICC(=O)OCC,623-48-3,5.921
ClCCC(=O)OCC,623-71-2,2.5020001
[SH0](=O)(OCC)OCC,623-81-4,2.01
[SH0](=O)(OCCC)OCCC,623-98-3,3.086
BrC(CBr)CCCC,624-20-4,4.1459999
O=C(OC)CCCC,624-24-8,2.155
OC(CCCCCC)CC,624-51-1,3.3599999
O=C(OCCCCC)CC,624-54-4,2.957
O=CNN,624-84-0,2.1289999
OCCC(C)(C)C,624-95-3,2.263
N#CCC(C)C,625-28-5,2.1240001
NC(CCC)C,625-30-9,2.3150001
OC(CC=C)C,625-31-0,1.483
O=C(/C=C/C)C,625-33-2,3.54
O=C(O)CC=C,625-38-7,2.358
O=C(NCC)C,625-50-3,1.299
S=C(NCC)N,625-53-6,1.87
Cc1oc(C)cc1,625-86-5,2.52
Ic1cc(N)ccc1,626-01-7,3.6500001
Ic1cc(O)ccc1,626-02-8,4.1199999
OCCCC(C)C,626-89-1,2.3629999
OC(CCCC)C,626-93-7,2.0699999
ClCCCC(=O)O,627-00-9,2.323
O=[N+]([O-])CCCC,627-05-4,2.3099999
BrCCCO,627-18-9,2.0669999
OCCC=C,627-27-0,1.3049999
ClCCCO,627-30-5,1.601
N(CCC)C,627-35-0,2.191
O=C(N)CCCCC,628-02-4,2.092
O=C(OC/C=C/C)C,628-08-0,2.1300001
ClCCCC#N,628-20-6,2.0699999
S=C=NCCC,628-30-8,4.6929998
O=C(OCCCCC)C,628-63-7,3.1630001
N#CCCCCC,628-73-9,2.6240001
OC(CCCCCCC)C,628-99-9,3.618
BrCCCCCCC,629-04-9,4.487
N#CCCCCCC,629-08-3,2.763
S=C=NCCCCC,629-12-9,4.7059999
O=COCCCCCC,629-33-4,2.618
N#CCCCCCCC#N,629-40-3,2.23
N#CC(C)(C)C,630-18-2,1.675
BrC(Br)(C(=O)OCC)C(=O)OCC,631-22-1,5.1370001
Clc1c(Cl)c(N)ccc1Cl,634-67-3,4.3499999
Clc1cc(C=O)c(O)cc1,635-93-8,4.0089998
S=C(Nc1ccccc1)C,637-53-6,2.99
BrCCCc1ccccc1,637-59-2,3.6900001
O=C1CCC(=O)CC1,637-88-7,1.332
O=C(OCC)/C=C(\C)/C,638-10-8,2.52
ClC(=O)CCCC,638-29-9,2.655
O=COCCCCC,638-49-3,2.217
Nc1c(C(C)C)cccc1,643-28-7,3.1199999
Cc1ccc(-c2ccccc2)cc1,644-08-6,4.6599998
O=[N+]([O-])c1cc(C(=O)N)ccc1,645-09-0,2.8099999
Oc1ccc(CCC)cc1,645-56-7,3.6400001
N#CCCc1ccccc1,645-59-0,2.8399999
Fc1c(F)c(F)c(C=O)c(F)c1F,653-37-2,3.8199999
C(#Cc1ccccc1)C,673-32-5,3.1900001
BrCC(=O)N,683-57-8,4.5229998
ClC(Cl)C(=O)N,683-72-7,2.023
BrC(C(=O)OCC)C(=O)OCC,685-87-0,5.2150002
O=C(N(CC)CC)C,685-91-6,1.4579999
O=C(OCC(CCCC)CC)C(=C)C,688-84-6,4.5700002
O=C(O)CCCCCCCCCCC(=O)O,693-23-2,2.914
O=C(CCCCCCCC)C,693-54-9,3.582
O(CCCCC)CCCCC,693-65-2,4.0900002
Oc1c(C)c(C)cc(C)c1,697-82-5,3.3599999
O=[N+]([O-])/C=C/c1occc1,699-18-3,5.04
O=[N+]([O-])c1c(O)cc(C)cc1,700-38-9,3.5899999
O=[N+]([O-])c1c(O)cc(C=O)cc1,704-13-2,3.27
OC(CCC)Cc1ccccc1,705-73-7,3.1600001
O=C1OC(CCCCC)CCC1,705-86-2,2.9230001
O=C1OC(CCCCCC)CC1,706-14-9,3.493
O=Cc1c(O)ccc2c1cccc2,708-06-5,4.3200002
Ic1c([N+](=O)[O-])cc([N+](=O)[O-])cc1,709-49-9,5.1199999
Oc1c(C(C)(C)C)cc(C(C)(C)C)cc1C(C)(C)C,732-26-3,3.3599999
O=C(N)C(C)(C)C,754-10-9,1.5190001
O=C(N(C)C)CC,758-96-3,1.426
O(C(C)(C)C)C=O,762-75-4,1.628
O=C(NC(C)(C)C)C,762-84-5,1.842
OCCC(=C)C,763-32-6,1.8200001
OCC#CC,764-01-2,2.132
OCC#CCCC,764-60-3,2.6159999
Brc1sc(C)cc1,765-58-2,3.6500001
Clc1c(OC)cccc1,766-51-8,3.22
Clc1cc(C#N)ccc1,766-84-7,2.9400001
OCc1ccc(CC)cc1,768-59-2,3.0699999
OC12CC3CC(C1)CC(C2)C3,768-95-6,2.9200001
O=C1C(C#N)=C(C)C=C(C)N1,769-28-8,2.3
Fc1c(O)c(F)c(F)cc1F,769-39-1,4.1700001
O=C(OC=C)c1ccccc1,769-78-8,3.0799999
Nc1ccc(C(C)(C)C)cc1,769-92-6,3.3599999
Fc1c(F)c(F)c(O)c(F)c1F,771-61-9,4.6300001
Fc1c(F)c(O)c(F)c(F)c1O,771-63-1,4.8400002
Fc1c(F)c([N+](=O)[O-])ccc1F,771-69-7,4.8899999
OCCc1c2c(ccc1)cccc2,773-99-9,3.27
BrC(C(=O)C)C,814-75-5,4.8540001
BrCC(=O)CC,816-40-0,5.6020002
O=C(OC=C)CCCCCCC,818-44-0,2.7
O=C(OCCO)C=C,818-61-1,3.6900001
OCCCC=C,821-09-0,1.785
O=C(CCCCCCC)C,821-55-6,3.6600001
O(C)c1c(O)ccc(O)c1,824-46-4,5.1999998
Clc1c(O)cc(Cl)c(O)c1,824-69-1,4.8099999
Brc1c(N)c([N+](=O)[O-])cc(Br)c1,827-23-6,4.6199999
C(=C)c1cc2c(cc1)cccc2,827-54-3,4.2399998
O(c1ccc(O)cc1)c1ccccc1,831-82-3,4.3600001
O=C(c1c(O)cccc1)c1c(O)cccc1,835-11-0,4.1599998
O=[N+]([O-])c1ccc(Nc2ccccc2)cc1,836-30-6,4.8899999
O=C1C(c2ccccc2)=CC(=O)C(c2ccccc2)=C1,844-51-9,4.48
O=C(OCCO)C(=C)C,868-77-9,1.92
Brc1cscc1,872-31-1,2.96
C(C)c1sccc1,872-55-9,2.5699999
Clc1c(C#N)cccc1,873-32-5,3.28
Oc1cc(C#N)ccc1,873-62-1,2.9400001
Clc1cc(CO)ccc1,873-63-2,3.1500001
Clc1ccc(CO)cc1,873-76-7,3.25
Brc1c(N)c(Br)cc(Cl)c1,874-17-9,4.52
Clc1c(C=O)ccc(Cl)c1,874-42-0,4.04
S(CCC)c1ccccc1,874-79-3,3.8599999
O=C(C)c1c(C)cc(O)cc1,875-59-2,3.1900001
Cn1c(C)cc2c1cccc2,875-79-6,3.8399999
Cc1nc2c(cc(C)cc2)cc1,877-43-0,3.6800001
OCc1ccc(C(C)(C)C)cc1,877-65-6,3.48
Clc1c(Cl)c(Cl)cc([N+](=O)[O-])c1Cl,879-39-0,4.7800002
Fc1c(F)c(F)c([N+](=O)[O-])c(F)c1F,880-78-4,5.4299998
O=[N+]([O-])c1c(C)ccc2c1cccc2,881-03-8,4.04
O=CC(=C)CC,922-63-4,3.9100001
O=C(OC)C#C,922-67-8,4.77
OC(C=C)CC=C,924-41-4,3.25
O=C(OC)/C=C(\C)/C,924-50-5,1.9400001
O=C(OCCC)C=C,925-60-0,3.53
S=C(NCCC)N,927-67-3,2.3099999
ClCCCCO,928-51-8,2.2409999
OCCCCC#C,928-90-5,1.705
OCCC/C=C/C,928-92-7,2.2460001
OC/C=C/CCC,928-95-0,2.5280001
OCC/C=C\CC,928-96-1,2.191
O=C1C=CCC1,930-30-3,3.6400001
O=C(C)c1n(C)ccc1,932-16-1,2.3099999
O=C(C)c1cn(C)cc1,932-62-7,2
Clc1c(O)c(Cl)c(Cl)cc1Cl,935-95-5,5.2199998
O=C(NN)c1c(O)cccc1,936-02-7,3.1800001
O=C(NN)Cc1ccccc1,937-39-3,2.52
c1(-c2ccccc2)ccncc1,939-23-1,3.6600001
Clc1c([N+](=O)[O-])cc(C#N)cc1,939-80-0,4.71
O=C(OCC=C)C=C,999-55-3,3.6800001
O=C(OCC(O)C)C=C,999-61-1,3.6500001
OCCC#CCC,1002-28-4,1.976
O=Cc1[nH]ccc1,1003-29-8,2.52
N#Cc1sccc1,1003-31-2,2.24
O=C(CC)Cc1ccccc1,1007-32-5,2.79
c1(-c2ccccc2)ncccc1,1008-89-5,3.27
O=C(CCCC)c1ccccc1,1009-14-9,3.5599999
Clc1cc(C(=O)c2ccccc2)ccc1,1016-78-0,4.5500002
O=C(NN)C,1068-57-1,1.62
O=C(OCC)C(NC(=O)C)C(=O)OCC,1068-90-2,1.796
O=CC(=C)CCCC,1070-66-2,4.0700002
O=C(NN)CCCCC(=O)NN,1071-93-8,1.626
O=C(C)c1c[nH]cc1,1072-82-8,2.1500001
O=C(C)c1[nH]ccc1,1072-83-9,2.0899999
Oc1c(-c2ccccc2)cc(O)cc1,1079-21-6,5.0100002
P(=O)(OCC)(OCC)Cc1ccccc1,1080-32-6,2.5699999
O=C(OC)CCCC(=O)OC,1119-40-0,1.832
O=C(/C=C/CCC)C,1119-44-4,3.7
ClCCCCC(=O)O,1119-46-6,2.714
OC(CO)CCCCCCCC,1119-86-4,3.7639999
OC(CCCCCCCC)C,1120-06-5,3.99
O=C1C(C)=CCC1,1120-73-6,2.1700001
O=Cc1ncccc1,1121-60-4,2.8599999
O=C(C)c1ccncc1,1122-54-9,2.1300001
O=[N+]([O-])c1ccncc1,1122-61-8,3.4100001
Brc1ccc(C=O)cc1,1122-91-4,3.5869999
OCC(C)c1ccccc1,1123-85-9,2.5999999
Clc1c(O)cc(C)c(C)c1,1124-04-5,3.6900001
Clc1ccc(C(=O)OC)cc1,1126-46-1,3.4200001
C(C)c1c2c(ccc1)cccc2,1127-76-0,3.8900001
O=C(OC)c1ccc(C#N)cc1,1129-35-7,2.95
O=[N+]([O-])c1ccc(/C=N/O)cc1,1129-37-9,3.6800001
O=C(c1ccc(N)cc1)c1ccccc1,1137-41-3,3.6800001
Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1,1138-52-9,4.6399999
O=C(c1c(O)c(O)c(O)cc1)c1ccccc1,1143-72-2,3.8800001
O=C(NC)CC,1187-58-2,1.474
O=C(C)c1occc1,1192-62-7,1.96
O=C(C)c1oc(C)cc1,1193-79-9,2.1700001
O=Cc1c(O)ccc(O)c1,1194-98-5,3.277
Oc1c(N)cc(C(C)(C)C)cc1,1199-46-8,3.3699999
O=C(C#C)C,1423-60-5,4.96
O=C(OC1=CCCCC1)C,1424-22-2,2.5999999
Fc1c(C)ccc([N+](=O)[O-])c1,1427-07-2,3.3299999
O=C(C)c1ccc(C#N)cc1,1443-80-7,2.6300001
O=C(C)c1c(O)ccc(C)c1,1450-72-2,3.3099999
BrCC(=O)c1cscc1,1468-82-2,5.2199998
O=C(OC)CCCCCCCCCCCC(=O)OC,1472-87-3,4.6539998
ClC/C=C\CCl,1476-11-5,4.0219998
C(=C)n1c2c(c3c1cccc3)cccc2,1484-13-5,5.2399998
O(Cc1ccccc1)c1cc(N)ccc1,1484-26-0,3.8800001
Fc1c([N+](=O)[O-])cccc1,1493-27-2,3.23
OCC#Cc1ccccc1,1504-58-1,3.0699999
S=C(NCCCC)N,1516-32-1,2.8099999
O(C)c1cc(C#N)ccc1,1527-89-5,3.01
OC(CC)(C)c1ccccc1,1565-75-9,3.0599999
OC(/C=C/C)C,1569-50-2,1.599
SC1CCCCC1,1569-69-3,2.9960001
Clc1cc(C)c(O)cc1,1570-64-5,3.7
O=C(OC)c1ccc(C=O)cc1,1571-08-0,3.3
OC/C=C\CC,1576-95-0,1.895
O=C(O)C/C=C/CC,1577-18-0,2.7780001
Brc1ccc(CC)cc1,1585-07-5,3.6700001
OCc1cc2c(cc1)cccc2,1592-38-7,3.3900001
ClC(C#N)C,1617-17-0,2.1370001
O=C(C=C)CC,1629-58-9,4.52
O=C(C=C)CCC,1629-60-3,4.6599998
SCCCCCCC,1639-09-4,4.02
OC(CCCCCCCCC)C,1653-30-1,4.5799999
OC(CCCCCCCCCCC)C,1653-31-2,5.1700001
O=C(OC(C)(C)C)C=C,1663-39-4,3.27
O=C(/C=C/CCCC)C,1669-44-9,3.74
O=C(CCCCCC)c1ccccc1,1671-75-6,4.5599999
O=C(CCCCCCC)c1ccccc1,1674-37-9,4.8899999
O=C(C#CCC)C,1679-36-3,4.3200002
O=C1C(C)CCO1,1679-47-6,1.8099999
O(C)c1c(O)cc(N)cc1,1687-53-2,3.45
Oc1ccc(N=Nc2ccccc2)cc1,1689-82-3,4.6599998
Brc1c(O)c(Br)cc(C#N)c1,1689-84-5,4.1599998
ClC(C(=O)C)C(=O)C,1694-29-7,4.4439998
O=C(OC)CCCCCCCC,1731-84-6,4.04
O=C(OC)CCCCCCCCCC,1731-86-8,4.4250002
O=C(OC)CCCCCCC(=O)OC,1732-09-8,3.296
Oc1c(CC=C)cccc1,1745-81-9,3.3299999
Brc1cc(C=O)c(O)cc1,1761-61-1,4.1069999
Oc1c(-c2c(O)cccc2)cccc1,1806-29-7,3.8800001
Brc1c(N)c([N+](=O)[O-])cc([N+](=O)[O-])c1,1817-73-8,4.2399998
Nc1c(CCC)cccc1,1821-39-2,3.0799999
S(C=C)c1ccccc1,1822-73-7,3.4200001
N#CC(C)c1ccccc1,1823-91-2,3.01
Fc1c(F)c(C#N)c(F)c(F)c1C#N,1835-49-0,5.5500002
O=CC#CCCCCC,1846-68-0,4.7199998
O=C(O)C#CCCCCCC,1846-70-4,3.714
O=C(O)/C=C/CCCCC,1871-67-6,3.2090001
Clc1ccc(CCO)cc1,1875-88-3,3.3199999
Oc1c(C(C)(C)C)cc(C)cc1C,1879-09-0,4.1599998
OCC(c1ccccc1)c1ccccc1,1883-32-5,3.6500001
N#Cc1c(N)cccc1,1885-29-6,2.5
Clc1c([N+](=O)[O-])cc(C#N)cc1[N+](=O)[O-],1930-72-9,5.6599998
O=C(OCC#C)CC,1932-92-9,2.345
ClCCCCCCO,2009-83-8,2.727
NCCCCCCCCCC,2016-57-1,5.0560002
Brc1c(Br)nc(Br)[nH]1,2034-22-2,4.4299998
O=[N+]([O-])c1c(C)ccc(O)c1,2042-14-0,3.74
N#CCCCc1ccccc1,2046-18-6,3.1500001
O=C(OCC)C(C(=O)OCC)CC=C,2049-80-1,2.944
O=C(OCCCCC)c1ccccc1,2049-96-9,4.3699999
O=C(OCC)CCCCCC(=O)OCC,2050-20-6,3.4070001
O=C(OCC)CCCCCCC(=O)OCC,2050-23-9,3.7019999
OC(CCCCCC)CCC,2051-31-2,3.8499999
O=C(OCC=C)CCC,2051-78-7,2.365
BrC(C(=O)O)(C)C,2052/1/9,2.4159999
BrCCCCC(=O)O,2067-33-6,2.3069999
O=[N+]([O-])c1cc(-c2ccccc2)ccc1,2113-58-8,4.5700002
C(c1ccncc1)c1ccccc1,2116-65-6,3.6300001
Clc1cc(O)c(O)cc1,2138-22-9,4.0599999
O=Cc1c(O)c(O)c(O)cc1,2144/8/3,3.0009999
O=C(OC)c1cc(O)cc(O)c1,2150-44-9,2.8599999
[SH0](=O)(CCCC)CCCC,2168-93-6,2.743
Clc1c(Cl)c(Cl)nc(Cl)c1Cl,2176-62-7,4.71
O=C(OC=C)C=C,2177-18-6,4.4200001
O=C(OCCC)C(=C)C,2210-28-8,2.3499999
O(C)c1c2c(ccc1)cccc2,2216-69-5,3.8
O=C(OCC)C#Cc1ccccc1,2216-94-6,4.6700001
